BoxID,Processor,Weight
0,22,559167549
1,67,517264859
2,76,647228371
3,15,432044698
4,104,636358074
5,78,519299653
6,99,655998245
7,85,525202772
8,88,330785012
9,115,619494232
10,38,409495019
11,120,549032467
12,5,713702180
13,32,412470426
14,70,651332060
15,100,638647449
16,52,397870847
17,91,632807627
18,88,659978803
19,107,279302099
20,8,437180723
21,127,896594669
22,100,533825144
23,99,637622321
24,98,628658342
25,92,814351701
26,96,657785824
27,53,579744939
28,24,779660198
29,79,520525591
30,102,288008332
31,124,451879153
32,57,391139479
33,84,524522965
34,91,528666520
35,90,456226394
36,18,427453740
37,10,594735680
38,41,574489857
39,51,485960886
40,71,359776376
41,44,490311414
42,92,316455920
43,12,587493718
44,121,230616509
45,68,689587213
46,99,293581278
47,1,755955106
48,52,574780828
49,83,524006787
50,54,487162059
51,112,626109824
52,9,592712530
53,84,635512542
54,123,551341781
55,107,452394023
56,113,666169912
57,86,330184508
58,118,546797551
59,63,457519198
60,88,635132598
61,47,699501639
62,125,549818347
63,7,714778868
64,93,311140049
65,56,581412036
66,120,136693843
67,79,644977472
68,49,739799436
69,30,749578927
70,126,447288194
71,64,696511683
72,74,357238893
73,85,635662534
74,12,723039226
75,9,714294412
76,75,355586253
77,84,659875274
78,22,422551256
79,107,553900434
80,123,842809781
81,95,530693791
82,64,375329598
83,54,580586614
84,44,734715629
85,119,549344695
86,24,463982242
87,58,697184690
88,62,702034995
89,45,733934715
90,90,321525576
91,1,573733481
92,114,544770047
93,43,407824420
94,16,591904292
95,63,556251009
96,49,581972695
97,119,446540685
98,39,409426940
99,112,541335346
100,68,364986673
101,92,554210750
102,36,602983861
103,12,490865667
104,23,778655533
105,26,499189726
106,55,488715401
107,34,503257254
108,38,701021760
109,127,147795560
110,64,511915418
111,25,419804589
112,62,513233442
113,19,426770104
114,80,556963656
115,112,664867988
116,5,439121806
117,33,462714203
118,124,552970879
119,51,577075892
120,28,476657111
121,72,694076592
122,40,582545218
123,2,469764779
124,61,375884938
125,70,360897469
126,0,564589672
127,78,645515115
128,39,600864582
129,94,631236508
130,0,764314693
131,73,516513454
132,47,603115134
133,92,455287290
134,111,539346487
135,8,593202985
136,53,396345673
137,0,468371902
138,87,633504146
139,81,522483907
140,77,520726401
141,91,318906998
142,110,619258162
143,35,408604265
144,28,760158598
145,40,490564727
146,19,496058741
147,117,243333215
148,38,602293937
149,32,749055685
150,101,629051250
151,73,691709882
152,1,468296022
153,103,285983071
154,16,714518488
