BoxID,Processor,Weight
0,1,833447072
1,0,852695065
2,10,871664245
3,9,822162289
4,65,805446496
5,66,853281341
6,74,905292594
7,72,824211952
8,0,908834629
9,2,802464058
10,11,859897213
11,9,863281778
12,66,864291998
13,64,860671930
14,75,879308687
15,74,915575560
16,2,900609937
17,1,907570357
18,11,787157268
19,8,916149780
20,65,854883155
21,67,809400681
22,75,816242993
23,75,854481367
24,3,881532948
25,3,908954328
26,11,874090406
27,11,883605913
28,65,842989890
29,64,837720858
30,72,912183644
31,74,838671608
32,17,834000441
33,19,884314461
34,25,844147825
35,24,844832976
36,80,852322831
37,80,834638789
38,91,867312002
39,89,869009176
40,17,887968688
41,16,839349901
42,25,851176320
43,26,874935751
44,83,873737305
45,80,859098545
46,90,904667750
47,89,863010802
48,17,868225620
49,18,848433401
50,27,788183364
51,27,850226365
52,82,846337495
53,83,830181618
54,88,872239826
55,90,861364514
56,16,790075378
57,17,884898663
58,27,860092456
59,26,852335102
60,82,803045476
61,80,819395544
62,90,785762995
63,90,865394966
64,129,844719387
65,128,825150724
66,139,827788184
67,138,842903770
68,193,829547564
69,192,815579235
70,200,856056892
71,203,784265925
72,129,824835201
73,128,841592804
74,137,888445630
75,138,898805164
76,194,844259001
77,193,887730886
78,201,869776994
79,202,797333037
80,130,818677177
81,129,908512881
82,138,852910078
83,137,853541547
84,193,884548771
85,192,865833929
86,203,846900329
87,202,865666302
88,130,892640115
89,131,866848459
90,136,868562598
91,139,919087123
92,192,836521018
93,194,810912681
94,203,859282650
95,200,825160675
96,144,922532082
97,145,878906816
98,154,825461522
99,153,798759749
100,211,755918503
101,208,821266447
102,219,849818752
103,218,902794510
104,146,860638082
105,146,880026470
106,152,896987873
107,155,850366899
108,210,834868696
109,209,862209821
110,216,875439716
111,217,883789046
112,144,835147504
113,144,847543355
114,155,778212444
115,153,835536179
116,211,893735947
117,209,850325893
118,217,882815899
119,219,914106670
120,146,880272838
121,147,904440517
122,153,906415428
123,154,790692673
124,208,889519186
